ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
746.5,0.6306,1835000,4.788,1.19E+09,0.2761,1770,2.613,12090,0.7345,382100,0.257,25.33,0.4836
707,0.6488,306800,3.749,14650000,0.3622,2046,1.858,6072,0.8914,112900,0.277,22.62,0.6928
727.9,0.6833,74460000,3.552,23130000,0.3338,1802,2.792,25460,0.5546,157400,0.2946,16.2,0.4066
740.1,0.661,10340000,8.697,21470000,0.328,1464,3.066,28580,0.5222,1929000,0.2135,19.84,0.4227
774.4,0.5898,42390,1.116,21470000,0.328,1337,3.539,12630,0.6667,774000,0.2222,27.51,0.5353
636.3,0.689,433700000,7.959,2759000,0.3905,1192,4.767,94320,0.4142,1445000,0.2008,14.35,0.6205
653.6,0.6307,23590000,4.72,1026000,0.5134,1005,8.772,6175,0.9455,255700,0.2764,12.75,0.7086
762.4,0.6623,83170,4.763,256400,0.5773,1023,8.235,23920,0.6133,1256000,0.218,16.44,0.5965
613.2,0.6602,22510000,5.095,53290,0.8031,966.9,8.157,70770,0.4559,17900,0.4399,20.96,0.4951
670,0.67,17870000,7.812,568300,0.5542,1682,2.12,16480,0.7005,133900,0.3076,17.72,0.6508
675.8,0.6549,7753000,4.246,318000,0.5132,1216,4.376,7247,0.7868,25350,0.4474,21.55,0.8266
719.1,0.6136,258100000,8.115,426200,0.5624,1171,4.868,36580,0.552,37120,0.3408,13.14,0.5751
700.3,0.6277,58120000,9.339,2861,2.927,1171,4.868,26690,0.5749,83240,0.3346,15.9,0.6538
695,0.6189,37990000,6.857,3359,2.511,1171,4.868,28520,0.5739,12090,0.4258,16.17,0.5673
674.6,0.6562,6.45E+09,7.749,9325,1.608,1171,4.868,39230,0.4745,15910,0.435,21.38,0.57
656,0.7066,452800000,9.592,431800000,0.2755,1088,5.317,8724,0.8187,76340,0.3417,33.29,0.6726
721.9,0.6914,3708000,4.72,443900000,0.2833,1774,2.081,9383,0.7073,54010,0.2709,16.5,0.6628
699.5,0.6052,34280,7.098,443900000,0.2833,2588,1.423,33590,0.5124,2523000,0.201,11.69,0.5567
727.7,0.6862,5333000,1.376,443900000,0.2833,2588,1.423,6136,0.9748,26960,0.3529,12.32,0.6402
674,0.6853,15980,2.399,59020,0.8254,2588,1.423,11380,0.759,190700,0.2668,14.73,0.5585
708.4,0.6856,1.80E+09,1.17,12930,1.186,3719,1.248,7266,0.8183,785200,0.2351,24.74,0.4434
