ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
98090000,3.593,114600000,5.216,4381000,7.002,171900000,0.2499,3.31E+09,6.876,5158000,0.184,12.17,0.6961
43590,2.795,13100000,9.798,36340,5.236,171900000,0.2499,3.55E+09,7.074,78320000,0.1523,13.18,0.6986
209900000,4.505,1994,8.26,1734,2.615,171900000,0.2499,371500,3.395,1406000,0.1878,14.73,0.6719
1601,3.768,15730000,1.512,9636,0.8463,171900000,0.2499,2529000,6.667,5308000,0.1883,11.2,0.6021
3993000,8.805,3.49E+09,0.1485,174500,0.4981,171900000,0.2499,505400,6.32,162600,0.2967,10.19,0.5681
93420000,2.527,135100000,0.7616,2856,1.166,171900000,0.2499,804100000,1.322,24860000,0.15,10.06,0.5299
303200000,4.944,8.84E+09,1.231,624600000,8.771,171900000,0.2499,143100,3.762,172300,0.2807,8.184,0.7056
971.2,4.539,48150000,5.814,52820000,9.936,171900000,0.2499,1640000,4.346,19950,0.3427,10.87,0.7062
654.7,2.848,1.23E+09,7.218,418600000,6.845,28650000,0.2979,286200000,8.117,8767,0.3947,9.38,0.6921
207.2,9.173,1389000,8.934,82190,7.794,56690000,1.021,7002000,2.525,44330,0.3067,12.9,0.6762
385.9,9.564,423.9,8.997,7.57E+09,4.509,14510000,4,30980000,7.29,510100000,0.1303,13.6,0.669
2132000,7.139,332.1,5.189,7.57E+09,4.509,1.84E+09,2.918,68010,4.187,375100000,0.1223,12.26,0.6221
4.39E+09,5.794,27080,5.416,759.6,4.199,314700,3.371,10310,7.693,1269000,0.2216,9.677,0.6712
18620000,1.78,12830000,0.5935,320.5,7.322,540700000,8.574,188200000,3.413,64210,0.2695,11.69,0.7212
441100,0.7504,4.31E+09,1.494,3.78E+09,2.437,10640,8.463,233500,4.047,142800000,0.1548,6.673,0.5365
63480000,6.197,1748,6.938,727500,1.462,378100,9.221,26110,5.706,22350000,0.1796,8.74,0.6931
50150000,9.205,235300000,1.755,438900000,4.057,1110,7.53,106700000,2.978,45390,0.3414,18.15,0.6241
9022000,8.918,42830,2.9,726100000,6.956,11990000,4.16,519200,6.811,58880,0.3203,10.96,0.5293
367.8,5.516,272.4,6.286,1495000,9.85,3388,5.306,1040000,5.234,16980000,0.1563,10.31,0.6473
2934,9.58,124500,7.305,1053000,6.001,602300000,6.322,259000,7.152,290400,0.2086,19.32,0.5063
1083000,5.577,2.42E+09,9.13,14580,0.8624,2.39E+09,4.993,843200000,2.493,52080000,0.1436,14.42,0.7057
446900,0.5252,2.52E+09,6.612,117900,0.5261,4296000,7.81,6.03E+09,8.094,497000,0.2572,11.73,0.5298
17040,1.58,3325000,3.648,6648,1.18,9894,0.9687,157400,8.423,583400,0.23,9.182,0.6794
1825000,1.49,46460000,4.684,236000,7.568,1658,1.185,406700,4.993,948600000,0.1168,7.536,0.6645
1656000,0.777,3.22E+09,5.669,1324000,0.3691,20430,0.6717,310800,7.802,100500000,0.1476,9.251,0.5011
158900000,0.4375,740.7,5.658,277400,0.5283,4042,0.9315,8.71E+09,4.116,4438000,0.1644,11.86,0.6323
2.36E+09,3.02,76910,1.15,48480,0.6588,16720,0.5945,7528,4.924,904700,0.2237,9.336,0.6301
314700,0.751,938.7,1.532,320.8,3.995,16060,0.9578,2807000,9.595,3883000,0.1836,12.56,0.5779
1.01E+09,9.772,17250000,9.702,266.3,4.532,3297,0.9192,1860000,7.255,1.29E+09,0.1172,13.67,0.6879
5889000,1.98,1058,5.288,487.2,2.648,241400,0.5865,1.37E+09,3.973,22180,0.3113,16.1,0.5794
9.46E+09,3.725,106300000,2.037,7363,1.56,241400,0.5865,1442000,9.951,49460,0.2729,11.25,0.7033
127400,9.323,1.09E+09,0.2152,360500000,2.694,295300,0.496,377700,3.322,734600000,0.1191,13.5,0.5916
862700,2.652,1.09E+09,0.2152,82050000,0.2846,276400,0.4989,77770000,7.197,173700000,0.1498,9.911,0.6915
3.90E+09,8.645,1.09E+09,0.2152,82050000,0.2846,276400,0.4989,9726,7.018,3722,0.4236,8.277,0.6506
7678000,1.129,1601,2.283,82050000,0.2846,125800,0.5735,21470000,7.272,157400,0.2505,11.63,0.5817
734100,1.086,12720,6.484,18080000,0.3271,153500,0.4609,1.30E+09,6.896,109100,0.2685,9.339,0.7161
9.02E+09,4.127,2980000,2.106,18080000,0.3271,3.40E+08,5.361,19380000,8.019,535900,0.204,11.26,0.7199
973900000,4.51,519100000,8.372,18080000,0.3271,281100000,0.2277,26690000,8.05,211400,0.2436,9.263,0.718
26410000,4.696,2767,1.141,3626000,0.3905,281100000,0.2277,6.55E+09,9.42,11480,0.3911,12.81,0.5694
4.23E+09,2.267,7519000,0.5638,3626000,0.3905,281100000,0.2277,265200000,5.523,16010000,0.1652,8.623,0.5677
593300,5.184,12080000,8.217,1.23E+08,0.3054,281100000,0.2277,9.36E+09,4.824,732400,0.202,10.09,0.7048
200600,4.255,2944000,8.522,74480000,0.2934,281100000,0.2277,1784000,3.321,5705,0.4728,11.58,0.6024
7.61E+09,0.4183,7765000,8.102,40540000,0.2969,3.68E+08,0.2375,414700,4.58,4591,0.4238,9.906,0.6205
252300,1.051,1.94E+09,9.023,4293000,0.4401,3.68E+08,0.2375,639800,7.084,109100,0.2871,10.53,0.6382
759.3,6.001,58430000,8.749,8425,3.273,3.68E+08,0.2375,49920,7.679,4237,0.401,12.86,0.5854
1001,4.164,542000,6.518,474900,7.557,3.68E+08,0.2375,294800000,3.498,51760,0.3006,10.09,0.6788
349100,7.848,214300000,7.797,47880,9.445,694500000,0.2513,1.32E+09,4.709,18050,0.3924,12.18,0.5689
52730,3.164,35400,6.746,761.2,5.475,694500000,0.2513,14810000,8.23,1.30E+09,0.1315,9.324,0.5351
853.3,6.116,5.71E+09,0.1613,109500,8.532,199500000,0.2901,1599000,6.332,99780000,0.1439,8.92,0.5103
8.51E+09,0.3935,5.05E+09,0.2348,105700,9.883,417600,0.618,231900000,4.411,15820000,0.1693,10.41,0.5475
1286000,0.7698,2.37E+09,0.367,10540,1.039,5256,3.281,623000,3.35,9795,0.3438,10.74,0.726
40020000,8.506,784600000,7.974,2557000,9.581,60320000,8.014,7352000,5.474,123400,0.2759,14.91,0.498
1.66E+09,7.992,3495,9.333,108200000,7.886,117200,7.562,1707000,2.559,23560,0.3779,14.15,0.7161
1.90E+07,3.4,5923000,1.216,15420,4.581,300.7,4.713,5230000,5.782,227100,0.2351,10.04,0.578
38440000,0.4199,1.63E+09,0.3772,16430000,8.742,1.02E+09,2.031,1.47E+09,5.901,62680,0.2792,11.06,0.6925
22500,1.589,2703000,4.422,5.10E+09,1.853,210.7,8.237,5.94E+09,4.299,53480,0.2559,14.44,0.6066
284,7.95,573200,1.331,94750,9.085,6433,1.463,36030000,8.964,49160,0.3119,12.62,0.5878
546.8,7.725,18580000,0.3708,1.85E+09,9.52,1283,1.425,1147000,6.263,3106000,0.1804,13.02,0.5369
358.1,5.805,2.66E+08,3.731,189500000,7.725,1283,1.425,1.71E+09,3.789,972300,0.2326,10.49,0.7039
6720,1.421,5110000,0.3841,2507000,9.329,9082,8.625,1.26E+09,7.82,33100,0.3165,9.445,0.6525
5205000,0.4729,3.01E+09,2.093,194.2,7.754,4168,9.117,775900000,4.986,985400,0.1934,10.82,0.5616
5205000,0.4729,3582000,9.721,281.8,7.355,708600000,5.715,158600000,2.302,8098000,0.1693,9.807,0.6719
1.24E+09,8.093,2.60E+09,6.279,1513,4.248,1.70E+09,3.749,7341000,6.7,18760000,0.1661,9.199,0.7467
3363,6.412,15290,6.364,207400000,5.257,80870000,5.638,56360,3.376,174700,0.2444,11.58,0.5731
7213,4.673,52520,8.117,47330000,8.139,1586000,2.976,39300,8.14,289700,0.2235,9.946,0.5795
11830000,5.756,180.8,8.215,115400,2.611,1.98E+09,8.981,2.78E+09,4.894,19160000,0.1426,12.02,0.6454
6378000,0.5743,163,8.325,5148,5.778,891700000,6.27,695800,3.675,853800000,0.1349,10.18,0.6549
578200,8.744,82140,5.225,1176000,8.454,989500,0.896,540200,3.264,5.09E+09,0.1145,17.77,0.5374
3.61E+09,7.77,550.7,2.991,93210,8.467,5914000,0.5418,1.62E+09,7.472,2.26E+09,0.1304,10.13,0.617
471600,0.6982,5279,8.871,2644,1.646,502500,0.9935,30280000,3.216,9.40E+09,0.1063,10.72,0.5406
325700000,5.807,307600,3.883,485,5.372,1479000,2.472,4.46E+09,3.122,963600000,0.1165,13.39,0.598
3.46E+09,5.025,1735,1.194,1367000,6.308,126900,9.94,1080000,5.481,14070,0.3318,8.144,0.8554
978.8,2.28,26150,0.5175,46210000,8.043,2.37E+09,0.6239,13130,8.862,3991000,0.2079,11.33,0.6971
5427,1.158,26150,0.5175,311900,8.412,4.69E+09,0.3423,137800,6.486,20930,0.3099,12.26,0.6017
9089,8.898,26150,0.5175,487100,0.8784,37270000,0.3948,158600000,5.615,503100,0.2093,11.96,0.7076
2670000,7.712,3852,0.8424,317200000,8.427,528500000,0.4164,156700,3.892,61990,0.2681,8.64,0.8077
577.8,8.328,2175,0.8663,8677000,8.59,59670,6.529,330700,9.584,36330,0.2915,9.789,0.7996
278,8.388,1675,0.9307,136900,6.616,324400000,6.26,102500000,5.937,312800,0.2781,11.73,0.6561
846.6,7.096,3857,1.077,4432,1.015,32150000,8.548,975900,2.11,5928,0.4731,14.51,0.5713
326200000,3.782,10260,0.6805,7748,1.089,375.3,9.43,1.28E+09,5.584,9226,0.4215,13.69,0.5929
1489000,5.499,41670,0.7072,1604,1.664,215.5,6.516,939900,5.33,5407,0.4421,10.99,0.6285
44810000,6.586,23320,9.343,1604,1.664,275700,0.5499,5507000,6.257,8253,0.414,10.99,0.6638
190100000,2.653,4956,4.096,1604,1.664,96800,0.5382,50910000,4.59,7468,0.418,9.648,0.6652
17050000,2.223,425600,7.927,108500,0.5808,40320,0.7441,442300000,5.151,549000,0.252,10.92,0.5645
2804000,0.4417,44700,2.407,108500,0.5808,431.7,3.858,470300,8.976,9490,0.3867,10.33,0.6205
2804000,0.4417,358.5,2.488,1.12E+09,0.3034,267900000,3.281,204000,7.507,202700,0.2461,10.32,0.6573
123700,1.422,1565,1.802,5.71E+09,9.271,14540,0.7291,116500,9.504,185900,0.2161,11.06,0.5796
136200000,1.674,7176000,0.6042,37460,3.594,147700,0.4999,2119000,3.516,2072000,0.2178,10.85,0.803
323.3,5.828,364000,9.446,17110,7.567,147700,0.4999,2361000,2.78,95780,0.2529,10.88,0.5712
240600,3.418,51730,0.7908,91010,1.857,147700,0.4999,47310000,2.691,4773,0.3981,12.51,0.6138
2266000,0.8072,6932000,1.863,109900000,4.865,147700,0.4999,93290000,7.464,95740000,0.1402,12.62,0.7475
33740,0.7436,2146,4.422,3.69E+09,6.12,58330,0.54,121200000,2.247,14520,0.3504,15.06,0.6097
9.84E+09,4.945,197500,4.109,2096,6.083,162800,0.4538,251500000,2.847,19440,0.315,7.573,0.7695
1033,5.477,69760,7.552,1082000,7.299,162800,0.4538,1193000,7.981,53730,0.3021,10.45,0.6184
259100,8.231,3346,2.689,13910,1.029,162800,0.4538,6127000,9.288,271100,0.2465,12.06,0.6439
5.74E+08,3.778,6719000,1.947,22810,0.7086,162800,0.4538,245600000,1.859,8001,0.3928,7.435,0.683
124300000,5.939,11530000,8.844,2443000,1.638,162800,0.4538,175600000,9.928,26170,0.3073,8.184,0.5881
882.8,6.082,597.6,9.69,433.7,4.759,162800,0.4538,119200000,9.781,30520,0.3259,9.83,0.5636
9377,4.183,927.5,3.279,761.3,2.318,162800,0.4538,7197000,7.171,661200,0.2055,12.14,0.5432
275,8.857,448700,4.963,17240000,1.542,162800,0.4538,34500000,3.806,1808000,0.1945,11.25,0.6125
2724,5.796,2932,0.7927,5242,6.283,162800,0.4538,129100000,3.542,1193000,0.1753,9.558,0.7093
1340,6.99,696.3,5.866,14750,5.236,72190,0.4845,61840000,2.682,53120,0.2874,15.96,0.6075
15620000,2.82,2.02E+09,0.5055,33330,8.092,120900,0.5201,11740000,8.103,11900,0.3715,11.46,0.5847
56850,4.481,2.43E+08,0.2859,548100000,2.424,170600,0.4662,20950,9.897,431600,0.2256,9.805,0.6634
348.4,8.437,345400000,0.3412,1275,6.554,84480,0.5321,20850,7.98,55290,0.2964,7.277,0.6418
12630,1.831,100100,9.179,1825,5.015,37580,0.5256,17170000,6.659,8226,0.3863,8.009,0.6599
69480000,2.318,214.5,9.767,194200000,6.299,591700,5.898,74340,7.493,103400,0.2297,11.15,0.6417
469900000,8.686,10620000,4.971,8947,1.105,56480,8.954,96310,4.815,1792000,0.1988,13.02,0.6165
1945,5.926,153900000,0.7392,10520,0.9539,451.4,9.306,25230,9.571,5534000,0.1703,9.923,0.6809
