ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
1.48E+09,2.608,1892,6.997,105.2,1.669,784000,0.3581,92440000,0.1751,13.38,0.9824,1.381,0.5431
333100,1.009,17420,5.489,18780000,1.682,784000,0.3581,92440000,0.1751,14.16,0.9986,1.523,0.6175
943400000,3.708,27390000,3.835,108600000,5.961,150000,0.3675,92440000,0.1751,18.91,0.8274,1.291,0.6987
85.49,4.501,3744000,8.212,141.3,7.312,199.1,1.354,92440000,0.1751,18.52,0.8686,1.398,0.7295
217.9,2.44,29.25,5.576,39.73,4.793,53.35,2.221,92440000,0.1751,15.95,0.8353,1.273,0.5247
77220,1.847,2858,9.774,845.3,1.452,1.65E+09,0.3095,1.35E+08,2.322,17.68,0.7414,1.732,0.6894
30.06,3.006,1527000,3.239,1690000,4.173,386.9,0.9002,656.1,2.136,19.2,0.7335,1.241,0.6624
93.8,2.074,9973000,7.853,14250000,8.899,199,1.059,6074,2.21,21.57,0.6485,1.46,0.5614
1877000,8.041,6.08E+09,1.497,99860000,8.012,256000,0.3525,76.11,5.172,14.82,1.079,1.582,0.6313
23600,6.623,49550000,0.2295,177600000,1.445,139.8,1.108,3.33E+09,2.227,16.49,0.8576,1.501,0.6764
178.6,4.604,12630,0.4858,6235000,4.655,219.9,0.9683,1286000,2.941,13.35,0.9736,1.235,0.5572
9506,0.6801,27390,0.7343,4117000,9.274,219.9,0.9683,3.54E+09,0.2435,15.11,0.7943,1.576,0.6469
1298,0.8489,635,3.556,386500000,1.172,512.1,0.9028,5971000,7.354,31.31,0.5319,1.544,0.6198
152.3,1.284,426.1,0.8243,36560,5.669,512.1,0.9028,1387,9.189,17.32,0.7175,1.593,0.6723
152.3,1.284,426.1,0.8243,262100000,0.3293,393.8,1.088,1216,1.942,24.21,0.6094,1.551,0.6532
33.14,7.459,99.45,0.9886,38760000,0.4861,41.21,2.151,5607,0.3889,61.21,0.4804,1.581,0.5344
16.59,4.814,99.45,0.9886,311800,5.165,40.34,1.882,263700,0.3321,88.76,0.4292,1.617,0.5605
44.67,8.42,26.73,2.52,465500,3.927,38.07,1.936,2815,0.4201,51.97,0.6054,1.542,0.6648
41210,9.547,2170,1,343.5,1.037,38.07,1.936,8069,0.4054,28.55,0.6702,1.637,0.4692
2181,1.814,103300000,6.515,199.7,1.5,102.8,1.267,8069,0.4054,18.55,0.8105,1.617,0.697
886100000,0.4141,19590000,8.676,242.4,7.141,102.8,1.267,10760,0.3671,14.41,0.8485,1.528,0.7243
25.86,6.78,14380000,9.324,653300000,1.775,190.3,1.106,8205,0.3798,16.3,0.8281,1.511,0.5997
47000,7.219,1.41E+08,9.587,52.54,4.575,190.3,1.106,8205,0.3798,15.37,0.7964,1.311,0.5984
16.14,6.836,990200000,8.291,6608000,0.9776,222.3,1.16,366900,0.2688,20.3,0.804,1.181,0.5798
607700000,1.089,662.7,0.7556,2.42E+09,4.161,108.3,1.095,327200,0.231,56.09,0.5408,1.637,0.6957
42.81,2.281,3633,0.5411,398700000,3.013,635.9,3.519,78740000,0.3111,22.36,0.8022,1.425,0.595
77.85,1.675,3633,0.5411,34080,9.733,57.64,2.789,13.34,7.534,12.4,1.098,1.53,0.6066
77.85,1.675,2693,0.5585,52420,4.7,21220000,4.046,109.3,1.051,25.01,0.672,1.363,0.7515
175.1,1.381,76.98,3.446,75.27,7.922,1430000,8.862,3403,0.5407,12.28,0.9532,1.478,0.7028
22940,0.5677,128600,7.234,10850,8.763,149.2,8.201,3403,0.5407,63.16,0.5402,1.268,0.4932
2436000,8.3,37.2,2.175,3356,1.498,297.8,8.139,3403,0.5407,26.91,0.6394,1.552,0.6645
2.82E+09,5.6,9.91E+09,7.628,2468000,4.517,90.11,9.849,349000,0.2494,25.76,0.7208,1.585,0.6279
6.14E+08,0.3615,1.24E+09,1.136,14720,3.553,120700000,7.949,24.46,9.838,13.65,0.8938,1.55,0.6614
102500000,2.039,3582,0.8173,35950000,6.799,15.33,7.963,4014000,2.449,27.69,0.6852,1.798,0.5181
26060000,0.9878,30270000,7.198,773.6,7.573,253500,9.182,7973000,3.11,42.72,0.5572,1.688,0.6278
8845,4.733,1921,4.965,23.55,4.066,927300,6.701,144000,6.092,17.99,0.8074,1.375,0.6519
41540,7.572,70.51,3.917,74.62,8.478,348200000,4.306,2.16E+09,3.92,17.68,0.8645,1.425,0.5263
5.99E+09,1.634,1440000,7.592,272300000,7.673,17.29,9.488,68280000,7.56,14.93,0.9899,1.451,0.602
1846000,6.262,63.03,5.438,4550000,2.135,8.845,9.989,19230000,2.06,19.25,0.8317,1.228,0.7769
106600000,4.712,119.4,5.819,134.7,6.14,8.845,9.989,1445,6.306,16.42,0.7413,1.339,0.4899
13060000,3.551,323.1,0.9023,1.63E+09,4.78,5.66E+09,8.814,6994,3.749,29.61,0.6708,1.48,0.6728
